famille,methode,fichier,ligne,categorie,appel,remplacement_nouvelle_api,couverture
gizmos,create_handle,tool_api/_ui_motif_actor_rows.py,84,diagnostic/catalogue,self.ctx.gizmos.create_handle(,draw2d.handle / drag_arrow,couvert
gizmos,create_handle,tool_api/_ui_motif_actor_rows.py,116,diagnostic/catalogue,self.ctx.gizmos.create_handle(,draw2d.handle / drag_arrow,couvert
gizmos,handles,tool_api/_ui_motif_actor_rows.py,164,diagnostic/catalogue,"handle = direct_handle(handle_id, owner_tool=self.owner_tool) if callable(direct_handle) else next((h for h in self.ctx.gizmos.handles(owner_tool=self.owner_tool) if h.id == handle_id), None)",snapshot.handles,couvert
gizmos,clear_tool,tool_api/_ui_motif_builder.py,96,diagnostic/catalogue,self.ctx.gizmos.clear_tool(owner),registry.clear,couvert
gizmos,begin_interactive_update,tool_api/_ui_motif_builder.py,162,diagnostic/catalogue,self.ctx.gizmos.begin_interactive_update(),update_many / update_positions (transaction unique),couvert
gizmos,end_interactive_update,tool_api/_ui_motif_builder.py,167,diagnostic/catalogue,self.ctx.gizmos.end_interactive_update(),update_many / update_positions (transaction unique),couvert
gizmos,clear_tool,tool_api/_ui_motif_builder.py,193,diagnostic/catalogue,self.ctx.gizmos.clear_tool(owner),registry.clear,couvert
gizmos,handles,tool_api/_ui_motif_builder.py,211,diagnostic/catalogue,"handles=len(self.ctx.gizmos.handles(owner_tool=owner)),",snapshot.handles,couvert
gizmos,handles,tool_api/_ui_motif_runtime.py,134,diagnostic/catalogue,"existing = direct_handle(actor.id, owner_tool=self.owner_tool) if callable(direct_handle) else next((handle for handle in self.ctx.gizmos.handles(owner_tool=self.owner_tool) if handle.id == actor.id), None)",snapshot.handles,couvert
gizmos,update_positions_only,tool_api/_ui_motif_runtime.py,136,diagnostic/catalogue,self.ctx.gizmos.update_positions_only({actor.id: actor.points[0]}),registry.update_positions,couvert
gizmos,create_handle,tool_api/_ui_motif_runtime.py,150,diagnostic/catalogue,self.ctx.gizmos.create_handle(,draw2d.handle / drag_arrow,couvert
gizmos,handles,tool_api/_ui_motif_runtime.py,175,diagnostic/catalogue,for handle in self.ctx.gizmos.handles(owner_tool=self.owner_tool):,snapshot.handles,couvert
gizmos,create_handle,tool_api/_ui_motif_runtime.py,244,diagnostic/catalogue,self.ctx.gizmos.create_handle(,draw2d.handle / drag_arrow,couvert
gizmos,translate,tool_api/_ui_motif_showcase_rows.py,36,diagnostic/catalogue,"self.ctx.gizmos.translate(id=self._id(family, ""translate""), owner_tool=owner, origin=(0.0, y, 0.4), radius_px=13)",draw2d.translate_gizmo,couvert
gizmos,rotate,tool_api/_ui_motif_showcase_rows.py,37,diagnostic/catalogue,"self.ctx.gizmos.rotate(id=self._id(family, ""rotate""), owner_tool=owner, origin=(22.0, y, 0.4), radius_px=13)",draw2d.rotate_gizmo,couvert
gizmos,scale,tool_api/_ui_motif_showcase_rows.py,38,diagnostic/catalogue,"self.ctx.gizmos.scale(id=self._id(family, ""scale""), owner_tool=owner, origin=(44.0, y, 0.4), radius_px=13)",draw2d.scale_gizmo,couvert
gizmos,plane,tool_api/_ui_motif_showcase_rows.py,39,diagnostic/catalogue,"self.ctx.gizmos.plane(id=self._id(family, ""plane""), owner_tool=owner, origin=(66.0, y, 0.4), normal=(0.0, 0.0, 1.0), radius_px=13)",draw2d.plane_gizmo,couvert
gizmos,triad,tool_api/_ui_motif_showcase_rows.py,40,diagnostic/catalogue,"self.ctx.gizmos.triad(id=self._id(family, ""triad""), owner_tool=owner, origin=(88.0, y, 0.4), radius_px=12)",draw2d.triad_gizmo,couvert
gizmos,box_bounds,tool_api/_ui_motif_showcase_rows.py,41,diagnostic/catalogue,"self.ctx.gizmos.box_bounds(id=self._id(family, ""box_bounds""), owner_tool=owner, bounds=(104.0, 118.0, y - 7.0, y + 7.0, -1.0, 1.0), radius_px=10)",draw2d.box_bounds_gizmo,couvert
gizmos,begin_interactive_update,tool_api/_ui_motif_visibility.py,58,diagnostic/catalogue,ctx.gizmos.begin_interactive_update(),update_many / update_positions (transaction unique),couvert
gizmos,handles,tool_api/_ui_motif_visibility.py,60,diagnostic/catalogue,for handle in ctx.gizmos.handles(owner_tool=owner):,snapshot.handles,couvert
gizmos,set_visible,tool_api/_ui_motif_visibility.py,67,diagnostic/catalogue,"ctx.gizmos.set_visible(handle.id, visible_bool)",registry.hide/show,couvert
gizmos,end_interactive_update,tool_api/_ui_motif_visibility.py,69,diagnostic/catalogue,ctx.gizmos.end_interactive_update(),update_many / update_positions (transaction unique),couvert
gizmos,begin_interactive_update,tool_api/diagnostic_lab.py,373,diagnostic/catalogue,self.ctx.gizmos.begin_interactive_update(),update_many / update_positions (transaction unique),couvert
gizmos,handles,tool_api/diagnostic_lab.py,377,diagnostic/catalogue,for handle in self.ctx.gizmos.handles(owner_tool=self.owner_tool):,snapshot.handles,couvert
gizmos,set_visible,tool_api/diagnostic_lab.py,379,diagnostic/catalogue,"self.ctx.gizmos.set_visible(handle.id, False)",registry.hide/show,couvert
gizmos,end_interactive_update,tool_api/diagnostic_lab.py,381,diagnostic/catalogue,self.ctx.gizmos.end_interactive_update(),update_many / update_positions (transaction unique),couvert
gizmos,handles,tool_api/diagnostic_lab.py,504,diagnostic/catalogue,"handles=len(self.ctx.gizmos.handles(owner_tool=self.owner_tool)),",snapshot.handles,couvert
gizmos,create_handle,tool_api/diagnostic_lab.py,611,diagnostic/catalogue,self.ctx.gizmos.create_handle(,draw2d.handle / drag_arrow,couvert
gizmos,create_handle,tool_api/diagnostic_lab.py,661,diagnostic/catalogue,self.ctx.gizmos.create_handle(,draw2d.handle / drag_arrow,couvert
gizmos,plane,tool_api/diagnostics.py,383,diagnostic/catalogue,"plane = ctx.gizmos.plane(id=""diag.plane"", owner_tool=owner, origin=(0, 0, 0), normal=(0, 0, 1))",draw2d.plane_gizmo,couvert
gizmos,translate,tool_api/diagnostics.py,384,diagnostic/catalogue,"translate = ctx.gizmos.translate(id=""diag.move"", owner_tool=owner)",draw2d.translate_gizmo,couvert
gizmos,rotate,tool_api/diagnostics.py,385,diagnostic/catalogue,"rotate = ctx.gizmos.rotate(id=""diag.rotate"", owner_tool=owner)",draw2d.rotate_gizmo,couvert
gizmos,scale,tool_api/diagnostics.py,386,diagnostic/catalogue,"scale = ctx.gizmos.scale(id=""diag.scale"", owner_tool=owner)",draw2d.scale_gizmo,couvert
gizmos,box_bounds,tool_api/diagnostics.py,387,diagnostic/catalogue,"box = ctx.gizmos.box_bounds(id=""diag.box"", owner_tool=owner, bounds=(0, 1, 0, 1, 0, 1))",draw2d.box_bounds_gizmo,couvert
gizmos,handles,tool_api/diagnostics.py,389,diagnostic/catalogue,"return f""region_area={regions[0].area:g}, gizmo_handles={len(ctx.gizmos.handles(owner_tool=owner))}""",snapshot.handles,couvert
gizmos,translate,tool_api/diagnostics.py,401,diagnostic/catalogue,"context.gizmos.translate(id=""life.move"", owner_tool=owner)",draw2d.translate_gizmo,couvert
gizmos,handles,tool_api/diagnostics.py,409,diagnostic/catalogue,assert ctx.gizmos.handles(owner_tool=owner),snapshot.handles,couvert
gizmos,handles,tool_api/diagnostics.py,415,diagnostic/catalogue,assert not ctx.gizmos.handles(owner_tool=owner),snapshot.handles,couvert
gizmos,begin_interactive_update,tool_core/context.py,93,infrastructure Tool Core,self.gizmos.begin_interactive_update(),update_many / update_positions (transaction unique),couvert
gizmos,end_interactive_update,tool_core/context.py,97,infrastructure Tool Core,self.gizmos.end_interactive_update(),update_many / update_positions (transaction unique),couvert
gizmos,clear_tool,tool_core/context.py,142,infrastructure Tool Core,self.gizmos.clear_tool(owner),registry.clear,couvert
gizmos,create_handle,tool_core/diagnostic/bench.py,229,diagnostic/catalogue,"ctx.gizmos.create_handle(GizmoHandle(f""bench:{i}"", owner, (float(i), 0.0, 0.0), radius_px=14))",draw2d.handle / drag_arrow,couvert
gizmos,begin_interactive_update,tool_core/diagnostic/bench.py,230,diagnostic/catalogue,ctx.gizmos.begin_interactive_update(),update_many / update_positions (transaction unique),couvert
gizmos,update_positions_only,tool_core/diagnostic/bench.py,234,diagnostic/catalogue,"ctx.gizmos.update_positions_only({f""bench:{index}"": (float(index), float(step % 11), 0.0)})",registry.update_positions,couvert
gizmos,end_interactive_update,tool_core/diagnostic/bench.py,235,diagnostic/catalogue,ctx.gizmos.end_interactive_update(),update_many / update_positions (transaction unique),couvert
gizmos,clear_tool,tool_core/diagnostic/gizmo_demo.py,62,diagnostic/catalogue,self.ctx.gizmos.clear_tool(self.owner_tool),registry.clear,couvert
gizmos,begin_interactive_update,tool_core/diagnostic/gizmo_demo.py,102,diagnostic/catalogue,self.ctx.gizmos.begin_interactive_update(),update_many / update_positions (transaction unique),couvert
gizmos,update_positions_only,tool_core/diagnostic/gizmo_demo.py,104,diagnostic/catalogue,self.ctx.gizmos.update_positions_only({handle_id: tuple(float(v) for v in position)}),registry.update_positions,couvert
gizmos,end_interactive_update,tool_core/diagnostic/gizmo_demo.py,108,diagnostic/catalogue,self.ctx.gizmos.end_interactive_update(),update_many / update_positions (transaction unique),couvert
gizmos,handles,tool_core/diagnostic/gizmo_demo.py,115,diagnostic/catalogue,for handle in self.ctx.gizmos.handles(owner_tool=self.owner_tool):,snapshot.handles,couvert
gizmos,create_handle,tool_core/diagnostic/gizmo_demo.py,200,diagnostic/catalogue,self.ctx.gizmos.create_handle(,draw2d.handle / drag_arrow,couvert
gizmos,radius_for_style,tool_core/diagnostic/gizmo_demo.py,205,diagnostic/catalogue,"radius_px=self.ctx.gizmos.radius_for_style(row.style_id, radius, state),",style ProjectedHandleStyle.size_px,couvert
gizmos,update_interaction_state,tool_core/diagnostic/gizmo_demo.py,261,diagnostic/catalogue,self.ctx.gizmos.update_interaction_state(,manager.sync_interaction_state,couvert
gizmos,handles,tool_core/diagnostic/gizmo_demo.py,269,diagnostic/catalogue,return {handle.id: handle for handle in self.ctx.gizmos.handles(owner_tool=self.owner_tool)},snapshot.handles,couvert
gizmos,handles,tool_core/diagnostic/gizmo_demo.py,272,diagnostic/catalogue,"handles = [h for h in self.ctx.gizmos.handles(owner_tool=self.owner_tool) if str(h.kind).startswith(""demo_"")]",snapshot.handles,couvert
gizmos,clear_tool,tool_core/diagnostic/gizmo_demo.py,320,diagnostic/catalogue,self.ctx.gizmos.clear_tool(self.owner_tool),registry.clear,couvert
gizmos,clear_tool,tool_core/diagnostic/gizmo_demo.py,413,diagnostic/catalogue,self.ctx.gizmos.clear_tool(self.owner_tool),registry.clear,couvert
gizmos,radius_for_style,tool_core/diagnostic/gizmo_demo.py,448,diagnostic/catalogue,"radius = self.ctx.gizmos.radius_for_style(style_id, 11, state)",style ProjectedHandleStyle.size_px,couvert
gizmos,create_handle,tool_core/diagnostic/gizmo_demo.py,451,diagnostic/catalogue,self.ctx.gizmos.create_handle(,draw2d.handle / drag_arrow,couvert
gizmos,create_handle,tool_core/diagnostic/gizmo_demo.py,477,diagnostic/catalogue,self.ctx.gizmos.create_handle(,draw2d.handle / drag_arrow,couvert
gizmos,create_handle,tool_core/diagnostic/gizmo_demo.py,507,diagnostic/catalogue,self.ctx.gizmos.create_handle(,draw2d.handle / drag_arrow,couvert
gizmos,update_positions_only,tool_core/diagnostic/runner.py,42,diagnostic/catalogue,"ctx.gizmos.update_positions_only({""diag:hover"": event.world_pos})",registry.update_positions,couvert
gizmos,create_handle,tool_core/diagnostic/runner.py,172,diagnostic/catalogue,self.ctx.gizmos.create_handle(,draw2d.handle / drag_arrow,couvert
gizmos,create_handle,tool_core/diagnostic/runner.py,181,diagnostic/catalogue,"self.ctx.gizmos.create_handle(GizmoHandle(""diag:hover"", self.owner_tool, (0.0, 0.0, 0.0), radius_px=20))",draw2d.handle / drag_arrow,couvert
gizmos,handles,tool_core/diagnostic/runner.py,186,diagnostic/catalogue,if not self.ctx.gizmos.handles(owner_tool=self.owner_tool):,snapshot.handles,couvert
gizmos,handles,tool_core/diagnostic/runner.py,188,diagnostic/catalogue,"if not any(handle.id == ""diag:hover"" for handle in self.ctx.gizmos.handles(owner_tool=self.owner_tool)):",snapshot.handles,couvert
gizmos,create_handle,tool_core/diagnostic/runner.py,189,diagnostic/catalogue,"self.ctx.gizmos.create_handle(GizmoHandle(""diag:hover"", self.owner_tool, (0.0, 0.0, 0.0), radius_px=20))",draw2d.handle / drag_arrow,couvert
gizmos,update_positions_only,tool_core/diagnostic/runner.py,193,diagnostic/catalogue,self.ctx.gizmos.update_positions_only(updates),registry.update_positions,couvert
gizmos,handles,tool_core/diagnostic/runner.py,385,diagnostic/catalogue,"if not any(str(handle.kind).startswith(""demo_"") for handle in self.ctx.gizmos.handles(owner_tool=self.owner_tool)):",snapshot.handles,couvert
gizmos,handles,tool_core/diagnostic/runner.py,393,diagnostic/catalogue,"if not any(str(handle.kind).startswith(""demo_"") for handle in self.ctx.gizmos.handles(owner_tool=self.owner_tool)):",snapshot.handles,couvert
gizmos,handles,tool_core/diagnostic/runner.py,504,diagnostic/catalogue,"handles=len(self.ctx.gizmos.handles(owner_tool=self.owner_tool)),",snapshot.handles,couvert
gizmos,clear_tool,tool_core/diagnostic/showcase.py,38,diagnostic/catalogue,self.ctx.gizmos.clear_tool(self.owner_tool),registry.clear,couvert
gizmos,handles,tool_core/diagnostic/showcase.py,45,diagnostic/catalogue,backend.created = len(self.ctx.gizmos.handles(owner_tool=self.owner_tool)),snapshot.handles,couvert
gizmos,create_handle,tool_core/diagnostic/showcase.py,79,diagnostic/catalogue,self.ctx.gizmos.create_handle(,draw2d.handle / drag_arrow,couvert
gizmos,create_handle,tool_core/diagnostic/showcase.py,134,diagnostic/catalogue,self.ctx.gizmos.create_handle(,draw2d.handle / drag_arrow,couvert
gizmos,create_handle,tool_core/diagnostic/showcase.py,163,diagnostic/catalogue,self.ctx.gizmos.create_handle(,draw2d.handle / drag_arrow,couvert
gizmos,begin_interactive_update,tool_core/diagnostic/showcase.py,173,diagnostic/catalogue,self.ctx.gizmos.begin_interactive_update(),update_many / update_positions (transaction unique),couvert
gizmos,update_positions_only,tool_core/diagnostic/showcase.py,176,diagnostic/catalogue,"self.ctx.gizmos.update_positions_only({f""diag:stress:{target}"": (float(target % 30) * 2.2, 68.0 + float(target // 30) * 2.2 + 0.35, 0.15)})",registry.update_positions,couvert
gizmos,end_interactive_update,tool_core/diagnostic/showcase.py,178,diagnostic/catalogue,self.ctx.gizmos.end_interactive_update(),update_many / update_positions (transaction unique),couvert
gizmos,handles,tool_core/diagnostic/showcase.py,195,diagnostic/catalogue,"handles=len(self.ctx.gizmos.handles(owner_tool=self.owner_tool)),",snapshot.handles,couvert
gizmos,clear_tool,tool_core/tools.py,57,infrastructure Tool Core,ctx.gizmos.clear_tool(self.id),registry.clear,couvert
gizmos,clear_tool,tooling/_texture_projection_projector.py,569,outil métier,ctx.gizmos.clear_tool(self.tool.id),registry.clear,couvert
gizmos,begin_interactive_update,tooling/_texture_projection_projector.py,582,outil métier,ctx.gizmos.begin_interactive_update(),update_many / update_positions (transaction unique),couvert
gizmos,create_handle,tooling/_texture_projection_projector.py,602,outil métier,ctx.gizmos.create_handle(,draw2d.handle / drag_arrow,couvert
gizmos,radius_for_style,tooling/_texture_projection_projector.py,607,outil métier,"radius_px=ctx.gizmos.radius_for_style(style_id, _TEXTURE_HANDLE_BASE_RADIUS_PX, visual_state),",style ProjectedHandleStyle.size_px,couvert
gizmos,handles,tooling/_texture_projection_projector.py,619,outil métier,for handle in ctx.gizmos.handles(owner_tool=self.tool.id):,snapshot.handles,couvert
gizmos,set_visible,tooling/_texture_projection_projector.py,621,outil métier,"ctx.gizmos.set_visible(handle.id, False)",registry.hide/show,couvert
gizmos,end_interactive_update,tooling/_texture_projection_projector.py,623,outil métier,ctx.gizmos.end_interactive_update(),update_many / update_positions (transaction unique),couvert
gizmos,update_positions_only,tooling/_texture_projection_projector.py,1130,outil métier,ctx.gizmos.update_positions_only(positions),registry.update_positions,couvert
gizmos,clear_tool,tooling/_texture_projection_projector.py,1236,outil métier,ctx.gizmos.clear_tool(self.tool.id),registry.clear,couvert
gizmos,remove,tooling/plan_trace_2d/motif_overlay.py,1050,outil métier,gizmos.remove(handle_id),registry.remove,couvert
gizmos,remove,tooling/plan_trace_2d/sketch_sync.py,379,outil métier,ctx.gizmos.remove(target_id),registry.remove,couvert
gizmos,remove,tooling/vent_generator/feedback.py,289,outil métier,ctx.gizmos.remove(actor_id),registry.remove,couvert
preview,items,application/_tool_core_diag_scene_painter.py,71,diagnostic/catalogue,previews = list(ctx.preview.items(owner_tool=self.owner_tool)),registry.items / snapshot,couvert
preview,items,application/_tool_core_diag_scene_painter.py,623,diagnostic/catalogue,preview_items = {str(item.id): item for item in ctx.preview.items(owner_tool=self.owner_tool)},registry.items / snapshot,couvert
preview,items,application/creator_viewport_ui.py,212,infrastructure application,for item in ctx.preview.items(owner_tool=owner_tool):,registry.items / snapshot,couvert
preview,clear,application/preview_controller.py,130,infrastructure application,self.context.preview.clear(),manager.clear / registry.clear,couvert
preview,clear,application/preview_controller.py,192,infrastructure application,self.context.preview.clear(),manager.clear / registry.clear,couvert
preview,clear,application/preview_controller.py,216,infrastructure application,self.context.preview.clear(),manager.clear / registry.clear,couvert
preview,clear_tool,application/transform_gizmo_api.py,217,infrastructure application,ctx.preview.clear_tool(OWNER_TOOL),registry.clear,couvert
preview,show_line,application/transform_gizmo_api.py,239,infrastructure application,ctx.preview.show_line(,draw2d.line,couvert
preview,clear_tool,application/transform_gizmo_api.py,330,infrastructure application,ctx.preview.clear_tool(OWNER_TOOL),registry.clear,couvert
preview,show_polyline,application/transform_gizmo_api.py,346,infrastructure application,ctx.preview.show_polyline(,draw2d.polyline,couvert
preview,show_text,application/transform_gizmo_api.py,361,infrastructure application,"ctx.preview.show_text(f""{ROTATE_MANIPULATOR_ID}:label:{axis}"", OWNER_TOOL, axis.upper(), (c[0] + vec[0] * l * 1.12, c[1] + vec[1] * l * 1.12, c[2] + vec[2] * l * 1.12), size_px=14)",draw2d.text,couvert
preview,clear_tool,application/transform_gizmo_api.py,437,infrastructure application,ctx.preview.clear_tool(OWNER_TOOL),registry.clear,couvert
preview,show_line,application/transform_gizmo_api.py,456,infrastructure application,ctx.preview.show_line(,draw2d.line,couvert
preview,show_line,application/transform_gizmo_api.py,475,infrastructure application,ctx.preview.show_line(,draw2d.line,couvert
preview,items,application/transform_gizmo_api.py,656,infrastructure application,"existing = next((item for item in ctx.preview.items(owner_tool=OWNER_TOOL) if item.id == item_id), None)",registry.items / snapshot,couvert
preview,show_line,application/transform_gizmo_api.py,657,infrastructure application,"ctx.preview.show_line(item_id, OWNER_TOOL, p0, p1, payload=getattr(existing, ""payload"", None))",draw2d.line,couvert
preview,items,application/transform_gizmo_api.py,661,infrastructure application,"existing = next((item for item in ctx.preview.items(owner_tool=OWNER_TOOL) if item.id == item_id), None)",registry.items / snapshot,couvert
preview,show_polyline,application/transform_gizmo_api.py,662,infrastructure application,"ctx.preview.show_polyline(item_id, OWNER_TOOL, points, payload=getattr(existing, ""payload"", None))",draw2d.polyline,couvert
preview,items,application/transform_gizmo_api.py,664,infrastructure application,existing_items = {str(item.id): item for item in ctx.preview.items(owner_tool=OWNER_TOOL)},registry.items / snapshot,couvert
preview,show_line,application/transform_gizmo_api.py,667,infrastructure application,"ctx.preview.show_line(item_id, OWNER_TOOL, p0, p1, payload=getattr(existing_items.get(item_id), ""payload"", None))",draw2d.line,couvert
preview,items,application/transform_gizmo_api.py,744,infrastructure application,existing_items = {str(item.id): item for item in ctx.preview.items(owner_tool=OWNER_TOOL)},registry.items / snapshot,couvert
preview,show_line,application/transform_gizmo_api.py,749,infrastructure application,"ctx.preview.show_line(item_id, OWNER_TOOL, p0, p1, payload=payload)",draw2d.line,couvert
preview,clear_tool,application/transform_gizmo_api.py,778,infrastructure application,ctx.preview.clear_tool(OWNER_TOOL),registry.clear,couvert
preview,items,controllers/interaction_gizmo_refresh.py,60,infrastructure application,has_ui = bool(ctx.gizmos.handles(owner_tool=active) or ctx.preview.items(owner_tool=active) or ctx.selection.actors(owner_tool=active)),registry.items / snapshot,couvert
preview,show_line,tool_api/_ui_motif_actor_rows.py,105,diagnostic/catalogue,"self.ctx.preview.show_line(pid, self.owner_tool, actor.points[0], actor.points[1], payload=visual.line_payload)",draw2d.line,couvert
preview,show_circle,tool_api/_ui_motif_actor_rows.py,113,diagnostic/catalogue,"self.ctx.preview.show_circle(pid, self.owner_tool, points, payload=visual.line_payload)",draw2d.circle,couvert
preview,show_circle,tool_api/_ui_motif_actor_rows.py,134,diagnostic/catalogue,"self.ctx.preview.show_circle(pid, self.owner_tool, tuple(actor.points), payload=visual.line_payload)",draw2d.circle,couvert
preview,show_arc,tool_api/_ui_motif_actor_rows.py,139,diagnostic/catalogue,"self.ctx.preview.show_arc(pid, self.owner_tool, tuple(actor.points), payload=visual.line_payload)",draw2d.arc,couvert
preview,show_face,tool_api/_ui_motif_actor_rows.py,150,diagnostic/catalogue,"self.ctx.preview.show_face(pid, self.owner_tool, tuple(actor.points), holes=holes, payload=payload)",draw2d.face (holes inclus),couvert
preview,show_polyline,tool_api/_ui_motif_actor_rows.py,153,diagnostic/catalogue,"self.ctx.preview.show_polyline(outline_id, self.owner_tool, tuple(actor.points), payload=visual.line_payload)",draw2d.polyline,couvert
preview,show_polyline,tool_api/_ui_motif_actor_rows.py,158,diagnostic/catalogue,"self.ctx.preview.show_polyline(pid, self.owner_tool, tuple(actor.points), payload=visual.line_payload)",draw2d.polyline,couvert
preview,show_line,tool_api/_ui_motif_actor_rows.py,190,diagnostic/catalogue,"self.ctx.preview.show_line(pid, self.owner_tool, fixed_a, fixed_b)",draw2d.line,couvert
preview,show_line,tool_api/_ui_motif_actor_rows.py,195,diagnostic/catalogue,"self.ctx.preview.show_line(pid, self.owner_tool, grab_a, grab_b)",draw2d.line,couvert
preview,show_circle,tool_api/_ui_motif_actor_rows.py,203,diagnostic/catalogue,"self.ctx.preview.show_circle(circle_id, self.owner_tool, circle)",draw2d.circle,couvert
preview,show_line,tool_api/_ui_motif_actor_rows.py,204,diagnostic/catalogue,"self.ctx.preview.show_line(radius_id, self.owner_tool, center, radius_pt)",draw2d.line,couvert
preview,show_polyline,tool_api/_ui_motif_actor_rows.py,217,diagnostic/catalogue,"self.ctx.preview.show_polyline(pid, self.owner_tool, points, payload={""style_id"": ""guide""})",draw2d.polyline,couvert
preview,clear_tool,tool_api/_ui_motif_builder.py,95,diagnostic/catalogue,self.ctx.preview.clear_tool(owner),registry.clear,couvert
preview,clear_tool,tool_api/_ui_motif_builder.py,192,diagnostic/catalogue,self.ctx.preview.clear_tool(owner),registry.clear,couvert
preview,items,tool_api/_ui_motif_builder.py,204,diagnostic/catalogue,previews = self.ctx.preview.items(owner_tool=owner),registry.items / snapshot,couvert
preview,show_text,tool_api/_ui_motif_runtime.py,192,diagnostic/catalogue,"self.ctx.preview.show_text(self._id(family, ""label"", local_id), self.owner_tool, text, position, size_px=size_px)",draw2d.text,couvert
preview,show_line,tool_api/_ui_motif_showcase_rows.py,50,diagnostic/catalogue,"self.ctx.preview.show_line(self._id(family, ""line""), self.owner_tool, (0.0, -2.0, z), (28.0, -2.0, z), payload={""style_id"": ""preview""})",draw2d.line,couvert
preview,show_polyline,tool_api/_ui_motif_showcase_rows.py,51,diagnostic/catalogue,self.ctx.preview.show_polyline(,draw2d.polyline,couvert
preview,show_circle,tool_api/_ui_motif_showcase_rows.py,60,diagnostic/catalogue,"self.ctx.preview.show_circle(self._id(family, ""circle""), self.owner_tool, circle, payload={""style_id"": ""preview""})",draw2d.circle,couvert
preview,show_arc,tool_api/_ui_motif_showcase_rows.py,62,diagnostic/catalogue,"self.ctx.preview.show_arc(self._id(family, ""arc""), self.owner_tool, arc, payload={""style_id"": ""guide""})",draw2d.arc,couvert
preview,show_face,tool_api/_ui_motif_showcase_rows.py,64,diagnostic/catalogue,"self.ctx.preview.show_face(self._id(family, ""face""), self.owner_tool, face)",draw2d.face (holes inclus),couvert
preview,show_text,tool_api/_ui_motif_showcase_rows.py,65,diagnostic/catalogue,"self.ctx.preview.show_text(self._id(family, ""text"", ""face""), self.owner_tool, ""closed face preview"", (46.0, 22.0, 0.2), size_px=13)",draw2d.text,couvert
preview,show_text,tool_api/_ui_motif_showcase_rows.py,73,diagnostic/catalogue,"self.ctx.preview.show_text(self._id(family, ""text"", idx), self.owner_tool, text, pos, size_px=size)",draw2d.text,couvert
preview,show_polyline,tool_api/_ui_motif_showcase_rows.py,78,diagnostic/catalogue,"self.ctx.preview.show_polyline(self._id(family, ""snap"", ""guide""), self.owner_tool, guide_points, payload={""style_id"": ""guide""})",draw2d.polyline,couvert
preview,show_text,tool_api/_ui_motif_showcase_rows.py,79,diagnostic/catalogue,"self.ctx.preview.show_text(self._id(family, ""text"", ""snap""), self.owner_tool, ""smart snap anchors"", (14.0, 44.0, 0.3), size_px=13)",draw2d.text,couvert
preview,show_line,tool_api/_ui_motif_style_rows.py,115,diagnostic/catalogue,"self.ctx.preview.show_line(self._id(family, style_id, ""standalone_line""), self.owner_tool, (30.0, y, z), (43.0, y + 0.35 * idx, z))",draw2d.line,couvert
preview,show_line,tool_api/_ui_motif_style_rows.py,117,diagnostic/catalogue,"self.ctx.preview.show_line(self._id(family, style_id, ""line_fixed""), self.owner_tool, points[""line_fixed_a""], points[""line_fixed_b""])",draw2d.line,couvert
preview,show_line,tool_api/_ui_motif_style_rows.py,118,diagnostic/catalogue,"self.ctx.preview.show_line(self._id(family, style_id, ""line_grab""), self.owner_tool, points[""line_grab_a""], points[""line_grab_b""])",draw2d.line,couvert
